Op,FName,Index,GMS v12,,GMS v83,,GMS v87,,GMS v92,,GMS v95,,GMS v111,,JMS v185
FREDRICK_ACTION,"CStoreBankDlg::SetRet
CStoreBankDlg::SendCalculateFeeRequest
CStoreBankDlg::SendGetAllRequest",,0x000,64,0x040,67,0x043,70,0x046,69,0x045,108,0x06C,56,0x038
DUEY_ACTION,"CParcelDlg::CloseParcelDlg
CUIFadeYesNo::OnButtonClicked
CTabReceive::ReceiveParcel
CTabReceive::DiscardParcel
CTabQuickSend::SendQuickDelivery
CTabSend::SendParcel",,0x000,65,0x041,68,0x044,71,0x047,70,0x046,109,0x06D,57,0x039
,,,0x000,,0x000,,0x000,,0x000,,0x000,110,0x06E,,0x000
USER_EFFECT_LOCAL,CUserLocal::SendSkillEffectRequest,,0x000,,0x000,,0x000,72,0x048,71,0x047,111,0x06F,,0x000
OWL_ACTION,CUIShopScanner::OnCreate,,0x000,66,0x042,69,0x045,73,0x049,72,0x048,112,0x070,58,0x03A
OWL_WARP,CUIShopScanResult::OnButtonClicked,,0x000,67,0x043,70,0x046,74,0x04A,73,0x049,113,0x071,59,0x03B
ADMIN_SHOP,"CAdminShopDlg::SetRet
CAdminShopDlg::SendTradeRequest
CAdminShopDlg::OnPacket
CUIAdminShopWishList::SendRegisterPacket",,0x000,68,0x044,71,0x047,75,0x04B,74,0x04A,114,0x072,60,0x03C
ITEM_SORT,CWvsContext::SendGatherItemRequest,,0x000,69,0x045,72,0x048,76,0x04C,75,0x04B,115,0x073,61,0x03D
ITEM_SORT2,CWvsContext::SendSortItemRequest,,0x000,70,0x046,73,0x049,77,0x04D,76,0x04C,116,0x074,62,0x03E
ITEM_MOVE,CWvsContext::SendChangeSlotPositionRequest,37,0x025,71,0x047,74,0x04A,78,0x04E,77,0x04D,117,0x075,63,0x03F
,,,0x000,,0x000,,0x000,,0x000,,0x000,118,0x076,,0x000
,,,0x000,,0x000,,0x000,,0x000,,0x000,119,0x077,,0x000
,,,0x000,,0x000,,0x000,,0x000,,0x000,120,0x078,,0x000
USE_ITEM,CWvsContext::SendStatChangeItemUseRequest,38,0x026,72,0x048,75,0x04B,79,0x04F,78,0x04E,121,0x079,64,0x040
CANCEL_ITEM_EFFECT,CWvsContext::SendStatChangeItemCancelRequest,,0x000,73,0x049,76,0x04C,80,0x050,79,0x04F,122,0x07A,65,0x041
STATE_CHANGE_BY_PORTABLE_CHAIR_REQUEST,CWvsContext::TryRecovery,,0x000,74,0x04A,77,0x04D,81,0x051,80,0x050,123,0x07B,66,0x042
USE_SUMMON_BAG,CWvsContext::SendMobSummonItemUseRequest,39,0x027,75,0x04B,78,0x04E,82,0x052,81,0x051,124,0x07C,67,0x043
PET_FOOD,CWvsContext::SendPetFoodItemUseRequest,40,0x028,76,0x04C,79,0x04F,83,0x053,82,0x052,125,0x07D,68,0x044
USE_MOUNT_FOOD,CWvsContext::SendTamingMobFoodItemUseRequest,,0x000,77,0x04D,80,0x050,84,0x054,83,0x053,126,0x07E,69,0x045
SCRIPTED_ITEM,CWvsContext::SendScriptRunItemRequest,,0x000,78,0x04E,81,0x051,85,0x055,84,0x054,127,0x07F,70,0x046
,,,0x000,,0x000,,0x000,,0x000,,0x000,128,0x080,,0x000
,,,0x000,,0x000,,0x000,,0x000,,0x000,129,0x081,,0x000
,,,0x000,,0x000,,0x000,,0x000,,0x000,130,0x082,,0x000
,,,0x000,,0x000,,0x000,,0x000,,0x000,131,0x083,,0x000
,,,0x000,,0x000,,0x000,,0x000,,0x000,132,0x084,,0x000
USE_CASH_ITEM,"CItemSpeakerDlg::_SendConsumeCashItemUseRequest
CUICharacterSaleDlg::SendCreateNewCharacter
CUIIncubator::OnButtonClicked
CUIKarmaDlg::_SendConsumeCashItemUseRequest
CUIUnreleaseDlg::UnreleaseEquipItem
CWvsContext::SendConsumeCashItemUseRequest",41,0x029,79,0x04F,82,0x052,86,0x056,85,0x055,133,0x085,71,0x047
DESTROY_PET_ITEM_REQUEST,CWvsContext::SendActivatePetRequest,,0x000,80,0x050,83,0x053,87,0x057,86,0x056,134,0x086,72,0x048
USE_CATCH_ITEM,CWvsContext::SendBridleItemUseRequest,,0x000,81,0x051,84,0x054,88,0x058,87,0x057,135,0x087,73,0x049
USE_SKILL_BOOK,CWvsContext::SendSkillLearnItemUseRequest,,0x000,82,0x052,85,0x055,89,0x059,88,0x058,136,0x088,74,0x04A
USE_SKILL_RESET_BOOK,CWvsContext::SendSkillResetItemUseRequest,,0x000,83,0x053,86,0x056,90,0x05A,89,0x059,137,0x089,75,0x04B
,,,0x000,,0x000,,0x000,,0x000,,0x000,138,0x08A,,0x000
,,,0x000,,0x000,,0x000,,0x000,,0x000,139,0x08B,,0x000
,,,0x000,,0x000,,0x000,,0x000,,0x000,140,0x08C,,0x000
,,,0x000,,0x000,,0x000,,0x000,,0x000,141,0x08D,,0x000
USE_SHOP_SCANNER_ITEM,CWvsContext::SendShopScannerItemUseRequest,,0x000,,0x000,,0x000,,0x000,90,0x05A,142,0x08E,,0x000
USE_TELEPORT_ROCK,CWvsContext::SendMapTransferItemUseRequest,,0x000,84,0x054,87,0x057,91,0x05B,91,0x05B,143,0x08F,76,0x04C
USE_RETURN_SCROLL,CWvsContext::SendPortalScrollUseRequest,42,0x02A,85,0x055,88,0x058,92,0x05C,92,0x05C,144,0x090,77,0x04D
USE_UPGRADE_SCROLL,CWvsContext::SendUpgradeItemUseRequest,43,0x02B,86,0x056,89,0x059,93,0x05D,93,0x05D,145,0x091,78,0x04E
HYPER_UPGRADE_ITEM_USE,CWvsContext::SendHyperUpgradeItemUseRequest,,0x000,,0x000,,0x000,94,0x05E,94,0x05E,146,0x092,79,0x04F
ITEM_OPTION_UPGRADE_USE,CWvsContext::SendItemOptionUpgradeItemUseRequest,,0x000,,0x000,,0x000,95,0x05F,95,0x05F,147,0x093,80,0x050
,,,0x000,,0x000,,0x000,,0x000,,0x000,148,0x094,,0x000
,,,0x000,,0x000,,0x000,,0x000,,0x000,149,0x095,,0x000
,,,0x000,,0x000,,0x000,,0x000,,0x000,150,0x096,,0x000
,,,0x000,,0x000,,0x000,,0x000,,0x000,151,0x097,,0x000
UI_OPEN_ITEM_USE_REQUEST,CWvsContext::SendUIOpenItemRequest,,0x000,,0x000,,0x000,,0x000,96,0x060,152,0x098,,0x000
ITEM_RELEASE_REQUEST,CWvsContext::SendItemReleaseRequest,,0x000,,0x000,,0x000,96,0x060,97,0x061,153,0x099,81,0x051
DISTRIBUTE_AP,CWvsContext::SendAbilityUpRequest,44,0x02C,87,0x057,90,0x05A,97,0x061,98,0x062,154,0x09A,82,0x052
AUTO_DISTRIBUTE_AP,CWvsContext::SendAbilityUpRequest,,0x000,88,0x058,91,0x05B,98,0x062,99,0x063,155,0x09B,83,0x053
HEAL_OVER_TIME,CWvsContext::SendStatChangeRequest,45,0x02D,89,0x059,92,0x05C,99,0x063,100,0x064,156,0x09C,84,0x054
USER_CHANGE_STAT_REQUEST_BY_ITEM,CWvsContext::SendStatChangeRequestByItemOption,,0x000,,0x000,,0x000,100,0x064,101,0x065,157,0x09D,,0x000
,,,0x000,,0x000,,0x000,,0x000,,0x000,158,0x09E,,0x000
DISTRIBUTE_SP,CWvsContext::SendSkillUpRequest,46,0x02E,90,0x05A,93,0x05D,101,0x065,102,0x066,159,0x09F,85,0x055
